Elongation,? (MPa),,Author,Data Format,Key Experimental Details,Link to Publications and Original Source,
1,0,,Afshin Anssari-BenamÂ ,Cauchy Stress,0.5 s-1 Elongation Rate   Circumferential Layer,https://researchportal.port.ac.uk/en/datasets/stress-elongation-data-for-porcine-aortic-valve-specimens-under-v,
1.003,0.029175,,,,,,
1.006,0.036573,,,,,,
1.009,0.047682,,,,,,
1.012,0.055178,,Model,Optimization,Material Model Parameters,Computed Shear Modulus (Mpa),RMSE
1.015,0.059032,,,,,,
1.018,0.070307,,,,,,
1.021,0.085358,,,,,,
1.024,0.093056,,,,,,
1.027,0.112002,,,,,,
1.03,0.138538,,,,,,
1.033,0.138946,,,,,,
1.036,0.161956,,,,,,
1.039,0.185099,,,,,,
1.042,0.208365,,,,,,
1.045,0.227965,,,,,,
1.048,0.255305,,,,,,
1.051,0.275153,,,,,,
1.054,0.31426,,,,,,
1.057,0.345904,,,,,,
1.06,0.366167,,,,,,
1.063,0.394269,,,,,,
1.066,0.445764,,,,,,
1.069,0.49365,,,,,,
1.072,0.526212,,,,,,
1.075,0.566764,,,,,,
1.078,0.619276,,,,,,
1.081,0.676031,,,,,,
1.084,0.717345,,,,,,
1.087,0.778606,,,,,,
1.09,0.848091,,,,,,
1.093,0.909972,,,,,,
1.096,0.97221,,,,,,
1.099,1.034787,,,,,,
1.102,1.097704,,,,,,
1.105,1.173039,,,,,,
1.108,1.236572,,,,,,
1.111,1.324638,,,,,,
1.114,1.41318,,,,,,
1.117,1.486008,,,,,,
1.12,1.567348,,,,,,
1.123,1.657334,,,,,,
1.126,1.751751,,,,,,
1.129,1.813899,,,,,,
1.132,1.905637,,,,,,
1.135,1.968763,,,,,,
1.138,2.052424,,,,,,
1.141,2.140896,,,,,,
1.144,2.212933,,,,,,
1.147,2.306309,,,,,,
1.15,2.395971,,,,,,
1.153,2.498525,,,,,,
1.156,2.584561,,,,,,
1.159,2.654449,,,,,,
1.162,2.661875,,,,,,
1.165,2.601552,,,,,,
1.169,2.648169,,,,,,
1.173,2.788759,,,,,,
1.175,2.866564,,,,,,
1.177,2.966629,,,,,,
1.18,3.072997,,,,,,
1.184,3.223704,,,,,,
1.187,3.361553,,,,,,
1.189,3.489494,,,,,,
1.192,3.640472,,,,,,
1.195,3.757751,,,,,,
1.197,3.905557,,,,,,
1.2,4.076466,,,,,,
1.203,4.231025,,,,,,
1.206,4.381403,,,,,,
1.209,4.497298,,,,,,
1.212,4.671231,,,,,,
1.215,4.828804,,,,,,
1.218,4.973893,,,,,,
1.221,5.114675,,,,,,
1.224,5.24719,,,,,,
1.227,5.41672,,,,,,
1.23,5.532663,,,,,,
1.233,5.649362,,,,,,
1.236,5.785662,,,,,,
1.24,5.892564,,,,,,
1.244,5.956247,,,,,,
1.247,6.059002,,,,,,
1.25,6.130691,,,,,,
